"gene_compare","uchar","gene","compare"
"ENSG00000006555 HCC1395/HCC1395BL",2.28850351528378,"ENSG00000006555","HCC1395/HCC1395BL"
"ENSG00000006634 HCC1395/HCC1395BL",1.38895642582569,"ENSG00000006634","HCC1395/HCC1395BL"
"ENSG00000006652 HCC1395/HCC1395BL",1.463972850101,"ENSG00000006652","HCC1395/HCC1395BL"
"ENSG00000006695 HCC1395/HCC1395BL",0.907492486967068,"ENSG00000006695","HCC1395/HCC1395BL"
"ENSG00000006704 HCC1395/HCC1395BL",0.927650955676541,"ENSG00000006704","HCC1395/HCC1395BL"
"ENSG00000006744 HCC1395/HCC1395BL",0.413622215912324,"ENSG00000006744","HCC1395/HCC1395BL"
"ENSG00000006757 HCC1395/HCC1395BL",1.60522092785046,"ENSG00000006757","HCC1395/HCC1395BL"
"ENSG00000006831 HCC1395/HCC1395BL",0.3080274075476,"ENSG00000006831","HCC1395/HCC1395BL"
"ENSG00000006837 HCC1395/HCC1395BL",4.80452969767477,"ENSG00000006837","HCC1395/HCC1395BL"
"ENSG00000007047 HCC1395/HCC1395BL",1.34677279600859,"ENSG00000007047","HCC1395/HCC1395BL"
"ENSG00000007202 HCC1395/HCC1395BL",0.924124169402614,"ENSG00000007202","HCC1395/HCC1395BL"
"ENSG00000007255 HCC1395/HCC1395BL",1.68664049704989,"ENSG00000007255","HCC1395/HCC1395BL"
"ENSG00000007312 HCC1395/HCC1395BL",6.72911121931052,"ENSG00000007312","HCC1395/HCC1395BL"
"ENSG00000007341 HCC1395/HCC1395BL",1.9825838453488,"ENSG00000007341","HCC1395/HCC1395BL"
"ENSG00000007372 HCC1395/HCC1395BL",4.61097713349951,"ENSG00000007372","HCC1395/HCC1395BL"
"ENSG00000007376 HCC1395/HCC1395BL",0.91116983656962,"ENSG00000007376","HCC1395/HCC1395BL"
"ENSG00000007384 HCC1395/HCC1395BL",3.24222172667534,"ENSG00000007384","HCC1395/HCC1395BL"
"ENSG00000007392 HCC1395/HCC1395BL",0.92451020940667,"ENSG00000007392","HCC1395/HCC1395BL"
"ENSG00000007541 HCC1395/HCC1395BL",1.36769734455489,"ENSG00000007541","HCC1395/HCC1395BL"
"ENSG00000007545 HCC1395/HCC1395BL",1.16762415842935,"ENSG00000007545","HCC1395/HCC1395BL"
"ENSG00000007923 HCC1395/HCC1395BL",0.68732165986723,"ENSG00000007923","HCC1395/HCC1395BL"
"ENSG00000007944 HCC1395/HCC1395BL",0.91770304013719,"ENSG00000007944","HCC1395/HCC1395BL"
"ENSG00000007968 HCC1395/HCC1395BL",0.999193499025625,"ENSG00000007968","HCC1395/HCC1395BL"
"ENSG00000008018 HCC1395/HCC1395BL",0.279640418674296,"ENSG00000008018","HCC1395/HCC1395BL"
"ENSG00000008056 HCC1395/HCC1395BL",9.19878621812947,"ENSG00000008056","HCC1395/HCC1395BL"
"ENSG00000008130 HCC1395/HCC1395BL",0.822175638733912,"ENSG00000008130","HCC1395/HCC1395BL"
"ENSG00000008256 HCC1395/HCC1395BL",0.890296981083854,"ENSG00000008256","HCC1395/HCC1395BL"
"ENSG00000008277 HCC1395/HCC1395BL",2.66337005755509,"ENSG00000008277","HCC1395/HCC1395BL"
"ENSG00000008282 HCC1395/HCC1395BL",2.56481905362912,"ENSG00000008282","HCC1395/HCC1395BL"
"ENSG00000008283 HCC1395/HCC1395BL",1.2972281800508,"ENSG00000008283","HCC1395/HCC1395BL"
"ENSG00000008294 HCC1395/HCC1395BL",1.40229298061616,"ENSG00000008294","HCC1395/HCC1395BL"
"ENSG00000008311 HCC1395/HCC1395BL",1.95392666044092,"ENSG00000008311","HCC1395/HCC1395BL"
"ENSG00000008324 HCC1395/HCC1395BL",1.85826077909538,"ENSG00000008324","HCC1395/HCC1395BL"
"ENSG00000008382 HCC1395/HCC1395BL",1.65334523260242,"ENSG00000008382","HCC1395/HCC1395BL"
"ENSG00000008394 HCC1395/HCC1395BL",1.02728444376024,"ENSG00000008394","HCC1395/HCC1395BL"
"ENSG00000008405 HCC1395/HCC1395BL",0.754559329906086,"ENSG00000008405","HCC1395/HCC1395BL"
"ENSG00000008517 HCC1395/HCC1395BL",0.84675857309944,"ENSG00000008517","HCC1395/HCC1395BL"
"ENSG00000008710 HCC1395/HCC1395BL",0.84778393809335,"ENSG00000008710","HCC1395/HCC1395BL"
"ENSG00000008838 HCC1395/HCC1395BL",0.674608861611735,"ENSG00000008838","HCC1395/HCC1395BL"
"ENSG00000008869 HCC1395/HCC1395BL",1.88584172242579,"ENSG00000008869","HCC1395/HCC1395BL"
"ENSG00000009307 HCC1395/HCC1395BL",0.717230732938312,"ENSG00000009307","HCC1395/HCC1395BL"
"ENSG00000009335 HCC1395/HCC1395BL",1.17647184737655,"ENSG00000009335","HCC1395/HCC1395BL"
"ENSG00000009765 HCC1395/HCC1395BL",6.45346946665734,"ENSG00000009765","HCC1395/HCC1395BL"
"ENSG00000009780 HCC1395/HCC1395BL",1.40287357931641,"ENSG00000009780","HCC1395/HCC1395BL"
"ENSG00000009830 HCC1395/HCC1395BL",0.980387537538636,"ENSG00000009830","HCC1395/HCC1395BL"
"ENSG00000009954 HCC1395/HCC1395BL",0.798605087615967,"ENSG00000009954","HCC1395/HCC1395BL"
"ENSG00000010017 HCC1395/HCC1395BL",1.3363085106103,"ENSG00000010017","HCC1395/HCC1395BL"
"ENSG00000010030 HCC1395/HCC1395BL",5.33660201227102,"ENSG00000010030","HCC1395/HCC1395BL"
"ENSG00000010072 HCC1395/HCC1395BL",1.34416415714659,"ENSG00000010072","HCC1395/HCC1395BL"
"ENSG00000010165 HCC1395/HCC1395BL",0.740209466553224,"ENSG00000010165","HCC1395/HCC1395BL"
"ENSG00000010219 HCC1395/HCC1395BL",1.54628224024123,"ENSG00000010219","HCC1395/HCC1395BL"
"ENSG00000010244 HCC1395/HCC1395BL",0.721124085051011,"ENSG00000010244","HCC1395/HCC1395BL"
"ENSG00000010256 HCC1395/HCC1395BL",0.884361539553669,"ENSG00000010256","HCC1395/HCC1395BL"
"ENSG00000010270 HCC1395/HCC1395BL",0.479184165157216,"ENSG00000010270","HCC1395/HCC1395BL"
"ENSG00000010278 HCC1395/HCC1395BL",1.37074826904592,"ENSG00000010278","HCC1395/HCC1395BL"
"ENSG00000010292 HCC1395/HCC1395BL",0.683762722152674,"ENSG00000010292","HCC1395/HCC1395BL"
"ENSG00000010295 HCC1395/HCC1395BL",3.81055910307782,"ENSG00000010295","HCC1395/HCC1395BL"
"ENSG00000010310 HCC1395/HCC1395BL",1.4134125168525,"ENSG00000010310","HCC1395/HCC1395BL"
"ENSG00000010318 HCC1395/HCC1395BL",1.53035983200993,"ENSG00000010318","HCC1395/HCC1395BL"
"ENSG00000010361 HCC1395/HCC1395BL",5.60266780538537,"ENSG00000010361","HCC1395/HCC1395BL"
"ENSG00000010404 HCC1395/HCC1395BL",1.6529668939475,"ENSG00000010404","HCC1395/HCC1395BL"
"ENSG00000010539 HCC1395/HCC1395BL",1.02585000047652,"ENSG00000010539","HCC1395/HCC1395BL"
"ENSG00000010626 HCC1395/HCC1395BL",1.42204548722528,"ENSG00000010626","HCC1395/HCC1395BL"
"ENSG00000010704 HCC1395/HCC1395BL",1.28170878599446,"ENSG00000010704","HCC1395/HCC1395BL"
"ENSG00000010803 HCC1395/HCC1395BL",2.9016376679223,"ENSG00000010803","HCC1395/HCC1395BL"
"ENSG00000010810 HCC1395/HCC1395BL",1.73195229498919,"ENSG00000010810","HCC1395/HCC1395BL"
"ENSG00000011007 HCC1395/HCC1395BL",1.3672937762197,"ENSG00000011007","HCC1395/HCC1395BL"
"ENSG00000011009 HCC1395/HCC1395BL",0.811300343158315,"ENSG00000011009","HCC1395/HCC1395BL"
"ENSG00000011021 HCC1395/HCC1395BL",1.00580688367574,"ENSG00000011021","HCC1395/HCC1395BL"
"ENSG00000011028 HCC1395/HCC1395BL",2.17621370028232,"ENSG00000011028","HCC1395/HCC1395BL"
"ENSG00000011105 HCC1395/HCC1395BL",2.55436950440574,"ENSG00000011105","HCC1395/HCC1395BL"
"ENSG00000011114 HCC1395/HCC1395BL",2.4856524531685,"ENSG00000011114","HCC1395/HCC1395BL"
"ENSG00000011132 HCC1395/HCC1395BL",1.85633205999058,"ENSG00000011132","HCC1395/HCC1395BL"
"ENSG00000011143 HCC1395/HCC1395BL",0.931425079633041,"ENSG00000011143","HCC1395/HCC1395BL"
"ENSG00000011198 HCC1395/HCC1395BL",1.39020772041969,"ENSG00000011198","HCC1395/HCC1395BL"
"ENSG00000011201 HCC1395/HCC1395BL",1.73284121719137,"ENSG00000011201","HCC1395/HCC1395BL"
"ENSG00000011243 HCC1395/HCC1395BL",1.04329842326381,"ENSG00000011243","HCC1395/HCC1395BL"
"ENSG00000011258 HCC1395/HCC1395BL",0.85028200967404,"ENSG00000011258","HCC1395/HCC1395BL"
"ENSG00000011275 HCC1395/HCC1395BL",1.67162100342814,"ENSG00000011275","HCC1395/HCC1395BL"
"ENSG00000011295 HCC1395/HCC1395BL",1.19479280949167,"ENSG00000011295","HCC1395/HCC1395BL"
"ENSG00000011332 HCC1395/HCC1395BL",2.26803987236491,"ENSG00000011332","HCC1395/HCC1395BL"
"ENSG00000011376 HCC1395/HCC1395BL",1.14080116787837,"ENSG00000011376","HCC1395/HCC1395BL"
"ENSG00000011405 HCC1395/HCC1395BL",1.04169782172139,"ENSG00000011405","HCC1395/HCC1395BL"
"ENSG00000011422 HCC1395/HCC1395BL",7.77985035271146,"ENSG00000011422","HCC1395/HCC1395BL"
"ENSG00000011426 HCC1395/HCC1395BL",2.21422523454132,"ENSG00000011426","HCC1395/HCC1395BL"
"ENSG00000011451 HCC1395/HCC1395BL",1.74506954313003,"ENSG00000011451","HCC1395/HCC1395BL"
"ENSG00000011454 HCC1395/HCC1395BL",0.990476502592701,"ENSG00000011454","HCC1395/HCC1395BL"
"ENSG00000011478 HCC1395/HCC1395BL",0.916245509019058,"ENSG00000011478","HCC1395/HCC1395BL"
"ENSG00000011523 HCC1395/HCC1395BL",1.46954536555166,"ENSG00000011523","HCC1395/HCC1395BL"
"ENSG00000011566 HCC1395/HCC1395BL",3.19880028561488,"ENSG00000011566","HCC1395/HCC1395BL"
"ENSG00000011638 HCC1395/HCC1395BL",1.05050412557549,"ENSG00000011638","HCC1395/HCC1395BL"
"ENSG00000012061 HCC1395/HCC1395BL",1.30902636037057,"ENSG00000012061","HCC1395/HCC1395BL"
"ENSG00000012124 HCC1395/HCC1395BL",1.7919957281442,"ENSG00000012124","HCC1395/HCC1395BL"
"ENSG00000012171 HCC1395/HCC1395BL",2.50386914340648,"ENSG00000012171","HCC1395/HCC1395BL"
"ENSG00000012174 HCC1395/HCC1395BL",2.44958285894455,"ENSG00000012174","HCC1395/HCC1395BL"
"ENSG00000012211 HCC1395/HCC1395BL",1.66474683754176,"ENSG00000012211","HCC1395/HCC1395BL"
"ENSG00000012232 HCC1395/HCC1395BL",0.766354522782722,"ENSG00000012232","HCC1395/HCC1395BL"
"ENSG00000012660 HCC1395/HCC1395BL",0.984493350135147,"ENSG00000012660","HCC1395/HCC1395BL"
"ENSG00000012822 HCC1395/HCC1395BL",0.84547742056463,"ENSG00000012822","HCC1395/HCC1395BL"
"ENSG00000012963 HCC1395/HCC1395BL",0.898578878702681,"ENSG00000012963","HCC1395/HCC1395BL"
"ENSG00000012983 HCC1395/HCC1395BL",1.31560544232509,"ENSG00000012983","HCC1395/HCC1395BL"
"ENSG00000013288 HCC1395/HCC1395BL",2.43530640029958,"ENSG00000013288","HCC1395/HCC1395BL"
"ENSG00000013306 HCC1395/HCC1395BL",0.630252322116134,"ENSG00000013306","HCC1395/HCC1395BL"
"ENSG00000013374 HCC1395/HCC1395BL",1.45102559868939,"ENSG00000013374","HCC1395/HCC1395BL"
"ENSG00000013375 HCC1395/HCC1395BL",2.05206819437437,"ENSG00000013375","HCC1395/HCC1395BL"
"ENSG00000013392 HCC1395/HCC1395BL",2.92563538548059,"ENSG00000013392","HCC1395/HCC1395BL"
"ENSG00000013441 HCC1395/HCC1395BL",1.43063729070111,"ENSG00000013441","HCC1395/HCC1395BL"
"ENSG00000013503 HCC1395/HCC1395BL",1.17371540251046,"ENSG00000013503","HCC1395/HCC1395BL"
"ENSG00000013523 HCC1395/HCC1395BL",1.4978187655104,"ENSG00000013523","HCC1395/HCC1395BL"
"ENSG00000013563 HCC1395/HCC1395BL",2.05591793514116,"ENSG00000013563","HCC1395/HCC1395BL"
"ENSG00000013573 HCC1395/HCC1395BL",0.804462180873851,"ENSG00000013573","HCC1395/HCC1395BL"
"ENSG00000013583 HCC1395/HCC1395BL",1.78974545644581,"ENSG00000013583","HCC1395/HCC1395BL"
"ENSG00000013588 HCC1395/HCC1395BL",2.78797493327307,"ENSG00000013588","HCC1395/HCC1395BL"
"ENSG00000014138 HCC1395/HCC1395BL",1.28824176239618,"ENSG00000014138","HCC1395/HCC1395BL"
"ENSG00000014164 HCC1395/HCC1395BL",1.9995365102617,"ENSG00000014164","HCC1395/HCC1395BL"
"ENSG00000014216 HCC1395/HCC1395BL",0.485187525286428,"ENSG00000014216","HCC1395/HCC1395BL"
"ENSG00000014641 HCC1395/HCC1395BL",1.05064514093927,"ENSG00000014641","HCC1395/HCC1395BL"
