"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000011201 HCC1395/HCC1395BL",5.44595618726047,0,8,"up-regulate",100
"ENSG00000011243 HCC1395/HCC1395BL",1.58635555064817,0,8,"non-DEG",100
"ENSG00000011258 HCC1395/HCC1395BL",0.8124347535566,9.01685894655503e-252,8,"non-DEG",100
"ENSG00000011275 HCC1395/HCC1395BL",0.873190117517979,4.2709435193247e-185,8,"non-DEG",100
"ENSG00000011295 HCC1395/HCC1395BL",2.40760295558774,0,8,"up-regulate",100
"ENSG00000011332 HCC1395/HCC1395BL",2.11886104707328,2.781342323134e-309,5.5,"up-regulate",68.75
"ENSG00000011376 HCC1395/HCC1395BL",0.971764544351742,1.14782014874585e-55,8,"non-DEG",100
"ENSG00000011405 HCC1395/HCC1395BL",1.40689484622325,0,8,"non-DEG",100
"ENSG00000011422 HCC1395/HCC1395BL",31.5563376954401,0,8,"up-regulate",100
"ENSG00000011426 HCC1395/HCC1395BL",3.34759717432939,0,8,"up-regulate",100
"ENSG00000011451 HCC1395/HCC1395BL",3.66389111936164,0,8,"up-regulate",100
"ENSG00000011454 HCC1395/HCC1395BL",0.894720092447769,3.42565610390341e-164,8,"non-DEG",100
"ENSG00000011478 HCC1395/HCC1395BL",0.902034054990269,9.33989013285713e-45,8,"non-DEG",100
"ENSG00000011523 HCC1395/HCC1395BL",1.30426597921813,8.812875212522e-211,8,"non-DEG",100
"ENSG00000011566 HCC1395/HCC1395BL",2.20888626115411,0,6,"up-regulate",75
"ENSG00000011638 HCC1395/HCC1395BL",1.51669110828314,0,8,"non-DEG",100
"ENSG00000012061 HCC1395/HCC1395BL",1.31611054972679,1.28401437574112e-239,8,"non-DEG",100
"ENSG00000012124 HCC1395/HCC1395BL",0.00211082272961358,0,8,"down-regulate",100
"ENSG00000012171 HCC1395/HCC1395BL",2.00085474240632,8.15962968316155e-251,4,"up-regulate",50
"ENSG00000012174 HCC1395/HCC1395BL",1.71383976670378,0,7.5,"non-DEG",93.75
"ENSG00000012211 HCC1395/HCC1395BL",0.498188461172262,0,5,"down-regulate",62.5
"ENSG00000012232 HCC1395/HCC1395BL",0.905518155112057,5.26053097953921e-116,8,"non-DEG",100
