Sample	5_3_bias	reads_aligned_overlapping_exon	reads_aligned_genes	reads_aligned_exonic	total_alignments	reads_aligned_intronic	not_aligned	bam_file	non_unique_alignments	reads_aligned	reads_aligned_intergenic	ambiguous_alignments
MGI_RiboZero_HCC1395_1	1.12	2661458.0	29353658.0	29353658.0	61780258.0	21607878.0	17982608.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	5197254.0	29153835.0	1665598.0	3936104.0
MGI_RiboZero_HCC1395_2	1.07	2736755.0	29329530.0	29329530.0	61978660.0	22081498.0	17253810.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	5015676.0	29330467.0	1698542.0	3833670.0
MGI_RiboZero_HCC1395_3	1.08	2822883.0	30192652.0	30192652.0	63636658.0	22413420.0	16451838.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	5310178.0	30066925.0	1729158.0	3971262.0
NVG_PolyA_HCC1395BL_1	1.17	3075365.0	49116903.0	49116903.0	71226390.0	10259217.0	5041291.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	7868290.0	32765982.0	1765170.0	2197916.0
NVG_PolyA_HCC1395BL_2	1.18	2918896.0	46385451.0	46385451.0	67013188.0	9683177.0	4680245.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	7195233.0	30921339.0	1667282.0	2063485.0
NVG_PolyA_HCC1395BL_3	1.16	3093168.0	48996258.0	48996258.0	73482357.0	11181017.0	6805517.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	9378425.0	33249718.0	1633112.0	2273599.0
NVG_PolyA_HCC1395_1	1.16	3044102.0	50896199.0	50896199.0	69810675.0	8097608.0	5966470.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	7051520.0	32339038.0	1277278.0	2478828.0
NVG_PolyA_HCC1395_2	1.15	2889203.0	49206473.0	49206473.0	67535717.0	7921104.0	5050938.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	6701869.0	31338414.0	1194105.0	2502846.0
NVG_PolyA_HCC1395_3	1.17	2832475.0	49898264.0	49898264.0	67813821.0	7539495.0	4360093.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	6585534.0	31534064.0	1195096.0	2586126.0
SEQ_PolyA_HCC1395BL_1	1.26	3550852.0	71587362.0	71587362.0	100910376.0	14129634.0	1151178.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	9118756.0	47446562.0	2424480.0	3609914.0
