Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MGI_PolyA_HCC1395BL_1_R2	MGI_PolyA_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22659298.0	3.3 Gbp	0.0	31-150	46.0	53.63081646523772	149.9322129043892	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395BL_2_1_R1	MGI_PolyA_HCC1395BL_2_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39073056.0	5.8 Gbp	0.0	31-150	47.0	49.27296361612391	149.92774373727	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_2_1_R2	MGI_PolyA_HCC1395BL_2_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39073056.0	5.8 Gbp	0.0	31-150	47.0	49.07204908277858	149.92774373727	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_2_2_R1	MGI_PolyA_HCC1395BL_2_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39239517.0	5.8 Gbp	0.0	31-150	47.0	48.98310781840807	149.92994271565576	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_2_2_R2	MGI_PolyA_HCC1395BL_2_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39239517.0	5.8 Gbp	0.0	31-150	47.0	48.44679750656894	149.92994271565576	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_2_3_R1	MGI_PolyA_HCC1395BL_2_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39171395.0	5.8 Gbp	0.0	31-150	47.0	49.89417370114993	149.9272722607913	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_2_3_R2	MGI_PolyA_HCC1395BL_2_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39171395.0	5.8 Gbp	0.0	31-150	47.0	49.47437559825714	149.9272722607913	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_2_R1	MGI_PolyA_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22646253.0	3.3 Gbp	0.0	31-150	46.0	53.99294039400478	149.93065983145203	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395BL_2_R2	MGI_PolyA_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22646253.0	3.3 Gbp	0.0	31-150	46.0	53.52535493748663	149.93065983145203	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395BL_3_1_R1	MGI_PolyA_HCC1395BL_3_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39119397.0	5.8 Gbp	0.0	31-150	47.0	49.51249292548006	149.9292538686115	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
