Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SEQ_RiboZero_HCC1395BL_2_R2	36.87433380681537	44.0	138.21264451344203	147	18.181818181818183	71398635.0
SEQ_RiboZero_HCC1395BL_3_R1	46.455507281027664	43.0	138.5556462470334	147	9.090909090909092	65429399.0
SEQ_RiboZero_HCC1395BL_3_R2	34.751949445469336	43.0	138.5556462470334	147	18.181818181818183	65429399.0
SEQ_RiboZero_HCC1395BL_4_R1	46.56654369526977	43.0	139.94692827693925	147	9.090909090909092	69439577.0
SEQ_RiboZero_HCC1395BL_4_R2	35.86046982020768	43.0	139.94692827693925	147	18.181818181818183	69439577.0
SEQ_RiboZero_HCC1395BL_5_R1	46.27161502793157	43.0	138.0841174732001	147	9.090909090909092	70320788.0
SEQ_RiboZero_HCC1395BL_5_R2	35.522846742015645	43.0	138.0841174732001	147	27.27272727272727	70320788.0
SEQ_RiboZero_HCC1395BL_6_R1	45.72796038391967	43.0	138.21224142495754	147	9.090909090909092	70287961.0
SEQ_RiboZero_HCC1395BL_6_R2	34.92299580896092	43.0	138.21224142495754	147	27.27272727272727	70287961.0
SEQ_RiboZero_HCC1395_1_R1	50.80516311788952	46.0	139.01990872850655	147	18.181818181818183	68471324.0
SEQ_RiboZero_HCC1395_1_R2	42.04710169373301	46.0	139.01990872850655	147	18.181818181818183	68471324.0
SEQ_RiboZero_HCC1395_2_R1	49.28830331737986	45.0	138.68542558492888	147	9.090909090909092	65332001.0
SEQ_RiboZero_HCC1395_2_R2	40.98965786466765	46.0	138.68542558492888	147	18.181818181818183	65332001.0
SEQ_RiboZero_HCC1395_3_R1	49.51549467312978	46.0	138.93537807294013	147	9.090909090909092	60018498.0
SEQ_RiboZero_HCC1395_3_R2	41.62292828840578	46.0	138.93537807294013	147	18.181818181818183	60018498.0
SEQ_RiboZero_HCC1395_4_R1	50.65958280636569	45.0	139.11206649360793	147	27.27272727272727	71541794.0
SEQ_RiboZero_HCC1395_4_R2	42.58082531872945	45.0	139.11206649360793	147	18.181818181818183	71541794.0
SEQ_RiboZero_HCC1395_5_R1	49.74328529399933	46.0	138.76634050554202	147	9.090909090909092	62828763.0
SEQ_RiboZero_HCC1395_5_R2	41.207089827886676	46.0	138.76634050554202	147	9.090909090909092	62828763.0
SEQ_RiboZero_HCC1395_6_R1	49.768683494566226	45.0	137.8196464720773	147	9.090909090909092	64493859.0
SEQ_RiboZero_HCC1395_6_R2	40.661432022638444	46.0	137.8196464720773	147	18.181818181818183	64493859.0
