Sample	total_alignments	reads_aligned_exonic	reads_aligned	non_unique_alignments	reads_aligned_overlapping_exon	bam_file	ambiguous_alignments	reads_aligned_intergenic	reads_aligned_intronic	not_aligned	5_3_bias	reads_aligned_genes
SEQ_PolyA_HCC1395BL_5	108568428.0	77264834.0	51337893.0	8962742.0	4112375.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_5.Aligned.sortedByCoord.out.bam	3737398.0	2727218.0	15832472.0	1096696.0	1.25	77264834.0
SEQ_PolyA_HCC1395BL_6	104204162.0	73770426.0	49260632.0	8636534.0	3997664.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_6.Aligned.sortedByCoord.out.bam	3582460.0	2620746.0	15552140.0	951280.0	1.3	73770426.0
SEQ_PolyA_HCC1395_1	96025454.0	71353536.0	45664317.0	7167978.0	3704904.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	4045620.0	1664134.0	11774912.0	491702.0	1.24	71353536.0
SEQ_PolyA_HCC1395_2	82884564.0	61806106.0	39515666.0	5899484.0	3289257.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	3459570.0	1457286.0	10245632.0	386550.0	1.26	61806106.0
SEQ_PolyA_HCC1395_3	92373072.0	68228702.0	43813882.0	7159182.0	3473923.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	3889496.0	1603632.0	11473250.0	427142.0	1.28	68228702.0
SEQ_PolyA_HCC1395_4	102920082.0	76504036.0	48953698.0	7637678.0	3932211.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_4.Aligned.sortedByCoord.out.bam	4305324.0	1852206.0	12600472.0	461250.0	1.25	76504036.0
SEQ_PolyA_HCC1395_5	106552906.0	79303878.0	50675055.0	7953248.0	4057809.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_5.Aligned.sortedByCoord.out.bam	4506580.0	1869716.0	12897598.0	504682.0	1.23	79303878.0
SEQ_PolyA_HCC1395_6	105417026.0	78810928.0	50232181.0	7609798.0	4071121.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_6.Aligned.sortedByCoord.out.bam	4427156.0	1871848.0	12676266.0	561570.0	1.26	78810928.0
SEQ_RiboZero_HCC1395BL_1	140620954.0	38220680.0	61965249.0	21872410.0	8433777.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	3333590.0	5808374.0	71303622.0	1200288.0	0.99	38220680.0
SEQ_RiboZero_HCC1395BL_2	162873492.0	44177170.0	70413557.0	28709922.0	9493381.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	3888056.0	6586884.0	79415706.0	1970156.0	0.99	44177170.0
