Sample	sequenced_bases	general_error_rate	mapped_bases	mapped_reads	total_reads	bam_file	median_insert_size	mean_coverage	mean_insert_size	mean_mapping_quality
MGI_RiboZero_HCC1395BL_2	11209035694.0	0.0003	105638830151.0	75045818.0	76114964.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	274.0	34.0798	2299.7697	32.3938
MGI_RiboZero_HCC1395BL_3	8826309167.0	0.0003	78697720342.0	59102998.0	75863312.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	284.0	25.3884	2262.2994	32.4377
MGI_RiboZero_HCC1395_1	8709830458.0	0.0003	81064632124.0	58307670.0	76290278.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	279.0	26.152	2317.5231	31.761
MGI_RiboZero_HCC1395_2	8763778745.0	0.0003	80762929569.0	58660934.0	75914744.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	285.0	26.0547	2348.3714	31.0139
MGI_RiboZero_HCC1395_3	8983168282.0	0.0003	84467288695.0	60133850.0	76585688.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	288.0	27.2497	2399.0357	30.7286
NVG_PolyA_HCC1395BL_1	9674034481.0	0.0003	106958371910.0	65532197.0	70573488.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	375.0	34.5055	3316.4695	23.079
NVG_PolyA_HCC1395BL_2	9131998715.0	0.0003	102751374504.0	61842915.0	66523160.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	381.0	33.1483	3401.6444	22.1166
NVG_PolyA_HCC1395BL_3	9788022969.0	0.0003	110582063635.0	66499781.0	73305298.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	363.0	35.6745	3287.3941	23.4195
NVG_PolyA_HCC1395_1	9543886965.0	0.0002	106315671458.0	64678358.0	70644828.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	438.0	34.2981	3596.5452	20.4658
NVG_PolyA_HCC1395_2	9260918627.0	0.0002	103305276392.0	62677044.0	67727982.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	389.0	33.327	3292.3896	22.7796
