Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
MGI_PolyA_HCC1395_0313_1	42.1798	0.04	79440958.0	3.4853696902990765	1.264609853055932	9.80641169739379	0	0.9521945693440759	366	2.3059459776855515	80106878.0	48.66196933809144
MGI_PolyA_HCC1395_0313_2	41.7303	0.04	79281724.0	3.467654749648807	1.2627577363787226	9.740456135608515	0	0.9517059171465929	366	2.297180240543459	79935588.0	48.58330908130626
MGI_PolyA_HCC1395_0313_3	41.9672	0.04	79433246.0	3.4368356584731017	1.257639840959624	9.5902811885404	0	0.9490353475579064	372	2.282648362306146	80043390.0	48.566639305447545
MGI_PolyA_HCC1395_1	19.8686	0.02	40655512.0								45287836.0	
MGI_PolyA_HCC1395_1_1	36.7261	0.02	70555388.0								78227966.0	
MGI_PolyA_HCC1395_1_1_bamqc				3.2176193208321084	1.1669959067979478	9.263140817506216	0	0.8734544311185478	407	2.127464689888008		48.88233253872418
MGI_PolyA_HCC1395_1_2	37.1367	0.02	70995584.0								78457350.0	
MGI_PolyA_HCC1395_1_2_bamqc				3.2219699932657617	1.1769358351351142	9.29204056079196	0	0.8827260153892156	416	2.135518079425121		48.91591111670784
MGI_PolyA_HCC1395_1_3	36.9308	0.02	70777398.0								78241002.0	
MGI_PolyA_HCC1395_1_3_bamqc				3.1896200693129413	1.1683956645187235	9.034036684752532	0	0.8755693431216104	398	2.118586363047017		48.925027174381825
MGI_PolyA_HCC1395_1_bamqc				2.467090839141472	0.8728943538226805	7.521791079717398	0	0.6158027769509173	388	1.630913566901866		47.36412748774676
MGI_PolyA_HCC1395_2	19.7151	0.02	40421032.0								45051954.0	
MGI_PolyA_HCC1395_2_1	36.7578	0.02	70860116.0								78435746.0	
MGI_PolyA_HCC1395_2_1_bamqc				3.2881169252785054	1.1801627397832577	9.706340972932392	0	0.8820628330281106	398	2.1600095004800965		48.71364498644859
MGI_PolyA_HCC1395_2_2	35.8435	0.02	68645116.0								76007064.0	
