Compare,Gene,FC_mean,P_mean,Suppoorted_Tools,DEG. Type,uchar,homoge,ubb_1_logFC,uwb_1_logFC,uhom_logFC,long_stability,ulst,kd_stability,uskd,dw4_stability,usw4,dw24_stability,usw25,dwCO2_stability,usco2
HCC1395/HCC1395BL,ENSG00000003249,3.013608887,0,4,up-regulate,0.015507343,FALSE,0.012167915,0.007881325,0.014535332,TRUE,0.039221753,FALSE,0.024846421,FALSE,0.008080634,FALSE,0.000136977,TRUE,0.001600819
HCC1395/HCC1395BL,ENSG00000003393,1.070513315,2.98E-42,3,non-DEG,0.006299849,FALSE,0.014103251,0.006353407,0.015491079,FALSE,0.052069296,FALSE,0.001827214,FALSE,0.001042127,TRUE,2.60E-05,FALSE,0.002237823
HCC1395/HCC1395BL,ENSG00000003400,0.0130148,0,3,down-regulate,0.02663792,FALSE,0.028890025,0.012614862,0.03154528,FALSE,0.184585906,FALSE,0.03740716,TRUE,0.003351177,FALSE,0.000677535,FALSE,0.015847635
HCC1395/HCC1395BL,ENSG00000003402,0.275840643,0,3,down-regulate,0.015086532,FALSE,0.005328673,0.006558586,0.009951899,FALSE,0.060825386,FALSE,0.006501988,FALSE,0.002467961,FALSE,0.000134013,TRUE,0.001055267
HCC1395/HCC1395BL,ENSG00000003436,0.151906634,0,2,down-regulate,0.062381563,FALSE,0.000680905,0.01327925,0.013298211,FALSE,0.393336635,FALSE,0.021859875,FALSE,0.01032944,FALSE,0.001614053,FALSE,0.004774968
HCC1395/HCC1395BL,ENSG00000003509,0.427626514,0,2,down-regulate,0.020983442,FALSE,0.004646274,0.004303323,0.006392874,FALSE,0.11712612,FALSE,0.021819832,FALSE,0.001129862,FALSE,0.000175051,FALSE,0.002927951
HCC1395/HCC1395BL,ENSG00000003756,1.475696834,0,2,non-DEG,0.008876268,FALSE,0.041412992,0.026279726,0.049139764,FALSE,0.030716504,TRUE,0.002064346,FALSE,0.001208175,FALSE,0.000250947,FALSE,0.001737295
HCC1395/HCC1395BL,ENSG00000003989,11.33053679,0,2,up-regulate,0.055976242,FALSE,0.105841457,0.06131245,0.12252378,FALSE,0.542740852,FALSE,0.019852288,FALSE,0.020581457,FALSE,0.000826942,FALSE,0.008286901
HCC1395/HCC1395BL,ENSG00000004059,1.596052591,0,2,non-DEG,0.010490547,FALSE,0.005463541,0.003220846,0.006393285,FALSE,0.058656453,FALSE,0.023215982,FALSE,0.000870987,FALSE,0.000304108,FALSE,0.001963147
HCC1395/HCC1395BL,ENSG00000004142,0.679216591,0,3,non-DEG,0.006007895,FALSE,0.346462066,0.096386251,0.359653348,TRUE,0.019690735,FALSE,0.018040012,TRUE,0.000146315,FALSE,7.13E-05,FALSE,0.001354361
HCC1395/HCC1395BL,ENSG00000004399,249.6563405,0,2,up-regulate,0.084679509,FALSE,61.94632959,0.190593852,61.94853157,FALSE,0.161186124,FALSE,0.023429186,FALSE,0.021712586,FALSE,0.003199053,FALSE,0.018168225
HCC1395/HCC1395BL,ENSG00000004455,0.789787226,0,4,non-DEG,0.011540998,FALSE,0.0046033,0.002090595,0.005057676,FALSE,0.125612507,FALSE,0.002107326,FALSE,0.000327556,TRUE,8.58E-06,FALSE,0.000666613
HCC1395/HCC1395BL,ENSG00000004478,1.058454371,1.40E-17,3,non-DEG,0.00567793,FALSE,0.005717122,0.002559883,0.006271215,FALSE,0.022408066,FALSE,0.002224063,FALSE,0.000687056,FALSE,1.07E-05,FALSE,0.0014119
HCC1395/HCC1395BL,ENSG00000004487,0.853667954,0.00E+00,3,non-DEG,0.009064063,FALSE,0.005906189,0.002445564,0.006398873,FALSE,0.018732085,FALSE,0.003762814,FALSE,0.001081566,TRUE,2.35E-06,FALSE,0.001129253
HCC1395/HCC1395BL,ENSG00000004534,1.253402157,2.17E-293,2,non-DEG,0.010403407,FALSE,0.005707309,0.012652766,0.01531362,FALSE,0.052321352,FALSE,0.001833311,FALSE,0.000555674,FALSE,0.000101583,FALSE,0.001384616
HCC1395/HCC1395BL,ENSG00000004660,15.56881297,0,4,up-regulate,0.01917054,FALSE,0.004211848,0.025641551,0.026635941,FALSE,0.244602125,FALSE,0.022711818,FALSE,0.00852417,FALSE,0.000772262,FALSE,0.016541646
HCC1395/HCC1395BL,ENSG00000004700,0.69127149,0,3,non-DEG,0.005747702,FALSE,0.006048882,0.003271504,0.006901636,FALSE,0.058113215,FALSE,0.02083375,FALSE,0.00278501,FALSE,0.000177885,FALSE,0.001176476
HCC1395/HCC1395BL,ENSG00000004766,1.736311319,0,2,non-DEG,0.009608929,FALSE,0.00646926,0.004395655,0.007827189,FALSE,0.048269942,FALSE,0.017626647,FALSE,0.001793072,FALSE,9.08E-05,FALSE,0.001519716
HCC1395/HCC1395BL,ENSG00000004777,0.47015816,0,3,down-regulate,0.014067812,FALSE,0.006091806,0.006388354,0.009241392,FALSE,0.083878252,FALSE,0.004859248,FALSE,0.001833726,FALSE,0.000203149,FALSE,0.004900457
HCC1395/HCC1395BL,ENSG00000004779,0.876332003,3.72E-134,3,non-DEG,0.012789367,FALSE,0.031733953,0.022315795,0.038980248,FALSE,0.076720802,FALSE,0.004133061,FALSE,0.001234488,FALSE,0.000390434,FALSE,0.003230057
HCC1395/HCC1395BL,ENSG00000004838,1.122341596,1.77E-22,2,non-DEG,0.042589253,FALSE,0.023994896,0.025063199,0.037752171,FALSE,0.170979272,FALSE,0.032975777,FALSE,0.002254916,FALSE,0.000809177,TRUE,0.017506101
HCC1395/HCC1395BL,ENSG00000004866,1.031521034,3.43E-98,2,non-DEG,0.028431756,FALSE,0.008844814,0.004613011,0.009980424,FALSE,0.143294359,FALSE,0.006688257,FALSE,0.003298365,TRUE,1.54E-05,FALSE,0.0014792
HCC1395/HCC1395BL,ENSG00000004897,0.427961909,0,4,down-regulate,0.010846063,FALSE,0.004945925,0.003542027,0.00627554,FALSE,0.071554161,FALSE,0.017011702,FALSE,0.001146995,TRUE,0.000021608,TRUE,0.000631831
HCC1395/HCC1395BL,ENSG00000004961,1.407471802,1.85E-261,2,non-DEG,0.006661184,FALSE,0.002833102,0.004915643,0.005742755,FALSE,0.059661607,FALSE,0.001506265,FALSE,0.000776542,FALSE,0.000149219,FALSE,0.001243856
HCC1395/HCC1395BL,ENSG00000004975,1.912089459,0,3,non-DEG,0.005582708,FALSE,0.004321197,0.003860874,0.005874058,FALSE,0.043884661,FALSE,0.017340913,FALSE,0.002011532,FALSE,2.94E-05,FALSE,0.001291529
HCC1395/HCC1395BL,ENSG00000005007,1.171711511,2.11E-246,2,non-DEG,0.004575015,FALSE,0.00590614,0.00294332,0.006624546,FALSE,0.033451383,FALSE,0.018818786,FALSE,0.001495008,FALSE,9.95E-05,FALSE,0.002864192
HCC1395/HCC1395BL,ENSG00000005022,0.813889793,0,2,non-DEG,0.011043507,FALSE,0.007862447,0.002983666,0.008487923,FALSE,0.035853279,FALSE,0.01075859,FALSE,0.001459413,FALSE,0.00037759,FALSE,0.001669555
HCC1395/HCC1395BL,ENSG00000005059,0.589743021,0.00E+00,3,non-DEG,0.00767147,FALSE,0.003397368,0.003852923,0.005429447,FALSE,0.037657821,FALSE,0.005162838,FALSE,0.00303504,FALSE,0.000189501,FALSE,0.00086582
HCC1395/HCC1395BL,ENSG00000005100,0.778529265,1.86E-306,4,non-DEG,0.003715182,FALSE,0.011695212,0.006240839,0.01464919,TRUE,0.014406977,FALSE,0.002602751,FALSE,0.00339164,TRUE,3.63E-05,FALSE,0.001943645
HCC1395/HCC1395BL,ENSG00000005102,1.609659144,7.34E-184,4,non-DEG,0.017878481,FALSE,0.033475942,0.009229108,0.034830198,FALSE,0.202895104,FALSE,0.006762511,FALSE,0.01406001,FALSE,0.001296575,FALSE,0.011973731
HCC1395/HCC1395BL,ENSG00000005156,0.549283827,0,4,non-DEG,0.009044225,FALSE,0.005088951,0.00324941,0.00614619,TRUE,0.034925183,TRUE,0.003630244,TRUE,0.002214622,TRUE,6.67E-05,FALSE,0.003432113
HCC1395/HCC1395BL,ENSG00000005175,0.639086449,0,3,non-DEG,0.010581324,FALSE,0.006923021,0.003286235,0.007668305,FALSE,0.013092613,FALSE,0.018082966,TRUE,0.00058588,TRUE,8.60E-06,FALSE,0.000848148
HCC1395/HCC1395BL,ENSG00000005189,1.417607202,3.30E-301,3,non-DEG,0.007823051,FALSE,0.007628447,0.00373688,0.008499431,FALSE,0.022361949,FALSE,0.006241749,TRUE,0.000640764,FALSE,0.000225332,FALSE,0.001885302
HCC1395/HCC1395BL,ENSG00000005194,1.725022681,0,3,non-DEG,0.008769844,FALSE,0.00938114,0.004167609,0.010324722,TRUE,0.025952792,FALSE,0.022749853,FALSE,0.001575976,FALSE,0.000224121,FALSE,0.003479285
