"gene_compare","fc_mean","p_mean","freq","N_non","N_down","final","compare","usample","gene","uchar","homoge","ubb_1_logFC","uwb_1_logFC","uhom_logFC","long_stability","ulst","kd_stability","uskd","dw4_stability","usw4","dw24_stability","usw25","dwCO2_stability","usco2","uts","uc","U"
"ENSG00000071626 HCC1395/HCC1395BL",0.767505492,1.81e-234,4,4,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071626",0.014689439,FALSE,0.003732395,0.00304379,0.004919832,FALSE,0.071207665,"FALSE","0.016012212","FALSE",0.001094737,"FALSE","3.65889E-05","FALSE",0.001423187,0.0712302987856177,0.0728954033539242,0.145790806707848
"ENSG00000071794 HCC1395/HCC1395BL",1.454519092,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071794",0.009908509,FALSE,0.004258664,0.004534634,0.006283778,FALSE,0.075840843,"FALSE","0.011830601","FALSE",0.00302405,"FALSE","5.19967E-05","FALSE",0.000898858,0.0759064311574277,0.0768078818065808,0.153615763613162
"ENSG00000071859 HCC1395/HCC1395BL",1.411609862,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071859",0.006299301,FALSE,0.016867739,0.005356955,0.017700418,FALSE,0.043108012,"FALSE","0.018789512","FALSE",0.002127607,"FALSE","0.000254782","FALSE",0.001612829,0.0431906080939113,0.0471000490231715,0.094200098046343
"ENSG00000071889 HCC1395/HCC1395BL",3.836863774,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000071889",0.011282972,FALSE,0.006247551,0.004127655,0.007545111,FALSE,0.073971241,"FALSE","0.004651732","FALSE",0.00159199,"FALSE","0.000165476","FALSE",0.003477107,0.0740700290288159,0.075303408671087,0.150606817342174
"ENSG00000071967 HCC1395/HCC1395BL",0.02069264,0,3,0,3,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000071967",0.01881763,FALSE,0.028343366,0.008270881,0.029530746,FALSE,0.096316095,"FALSE","0.002945023","FALSE",0.02349393,"FALSE","0.001805955","FALSE",0.01019977,0.099663384504776,0.105635970999846,0.211271941999691
"ENSG00000071994 HCC1395/HCC1395BL",0.753751086,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071994",0.008134772,FALSE,0.006087948,0.003389188,0.006995327,FALSE,0.072434012,"FALSE","0.014041067","FALSE",0.002134498,"FALSE","3.95269E-05","FALSE",0.001503607,0.0724810527664892,0.0732708135990553,0.146541627198111
"ENSG00000072042 HCC1395/HCC1395BL",0.778098629,9.64e-278,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072042",0.006982066,FALSE,0.00528652,0.012370134,0.014977861,FALSE,0.064846006,"FALSE","0.002472842","FALSE",0.001721395,"FALSE","0.000206049","FALSE",0.001297257,0.0648818200316707,0.0669532384309063,0.133906476861813
"ENSG00000072062 HCC1395/HCC1395BL",2.442984807,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072062",0.018588506,FALSE,0.004987972,0.003297704,0.006014895,FALSE,0.080562582,"FALSE","0.025998913","FALSE",0.003288531,"FALSE","0.000361389","FALSE",0.003632687,0.0807114643002136,0.0830424709811655,0.166084941962331
"ENSG00000072071 HCC1395/HCC1395BL",91.13350019,0,4,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072071",0.057345747,FALSE,0.031457517,0.024595187,0.043568117,FALSE,0.469402201,"FALSE","0.006432437","FALSE",0.00828353,"FALSE","0.000315942","FALSE",0.001983489,0.469479474952333,0.474971254834892,0.949942509669784
"ENSG00000072110 HCC1395/HCC1395BL",7.717563348,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072110",0.008089946,FALSE,0.006073766,0.00317916,0.006874703,FALSE,0.038799936,"FALSE","0.008811374","FALSE",0.001172842,"FALSE","4.31634E-05","FALSE",0.002297361,0.0388855816405693,0.0403087735753211,0.0806175471506422
